id,Español,Inglés
MENU_1,Obtén Imágenes Escaneables en,Get Image Targets In
MENU_TUTORIAL_1,Toca dos veces Para Mostrar/Ocultar la interfaz,Double tap to Show/Hide UI
MENU_TUTORIAL_2,Toca dos veces mientras grabas para detener la grabación,Double tap when recording to Stop It
VIDEO_TOAST,Video guardado en Galería,Video saved in gallery
SS_TOAST,Imagen guardada en Galería,Image Saved In Gallery
SHARE_VIDEO,Quieres compartir el Video?,Do you want to Share the Video?
SHARE_SS,Quieres compartir la Captura de Pantalla?,Do you want to Share the ScreenShot?
YES,Si,Yes
DONT_SHOW,No mostrar de nuevo,Don't Show Again
NAHUALCALLI,https://nahualcalli.com/,https://nahualcalli.com/
SHARE_MESSAGE,Prueba NahualcalliAR!,Check out NahualcalliAR App!